health_authority,report_date,total_cases,new_cases,new_cases_median_age,new_cases_females,ever_hospitalized,ever_hospitalized_median_age,deaths,deaths_median_age,recovered
fraser,01-04-2020,367,19,51,198,104,68,4,84,176
interior,01-04-2020,114,7,48,62,17,56,0,-,27
vancouver_Island,01-04-2020,72,5,54,38,11,73,0,-,27
northern,01-04-2020,16,1,51,10,5,49,0,-,5
vancouver Coastal,01-04-2020,497,21,56,263,88,70,21,85,371
total_BC,01-04-2020,1066,53,53,571/1036,225,68,25,85,606
fraser,31-03-2020,348,25,51,189,94,68,3,87,163
interior,31-03-2020,107,13,48,59,15,56,0,-,22
vancouver_Island,31-03-2020,67,0,50,37,9,72,0,-,26
northern,31-03-2020,15,1,53,9,5,49,0,-,5
vancouver Coastal,31-03-2020,476,4,55,249,81,68,21,85,291
total_BC,31-03-2020,1013,43,53,543/977,204,67,24,85,507
fraser,30-03-2020,323,28,51,174,80,71,2,84,147
interior,30-03-2020,94,8,44,56,12,56,0,-,19
vancouver_Island,30-03-2020,67,0,50,38,9,72,0,-,24
northern,30-03-2020,14,0,54,236,70,65,17,85,274
vancouver Coastal,30-03-2020,472,34,54,236,70,65,17,85,274
total_BC,30-03-2020,970,70,53,513/916,175,68,19,85,469
fraser,27-03-2020,262,21,50,139,65,69,2,84,90
interior,27-03-2020,70,8,46,37,8,55,0,-,13
vancouver_Island,27-03-2020,57,5,50,32,8,72,0,-,8
northern,27-03-2020,12,1,51,7,2,58,0,-,5
vancouver Coastal,27-03-2020,391,32,53,177,40,71,14,85,159
total_BC,27-03-2020,792,67,52,392/710,123,67,16,85,275
fraser,26-03-2020,241,23,51,126,56,69,2,84,5
interior,26-03-2020,62,16,49,32,8,55,0,-,9
vancouver_Island,26-03-2020,52,5,49,29,5,71,0,-,8
northern,26-03-2020,11,2,53,7,1,-,0,-,5
vancouver Coastal,26-03-2020,359,20,53,177,40,71,12,86,159
total_BC,26-03-2020,725,66,52,371/670,110,68,14,86,186
fraser,25-03-2020,218,24,51,109,55,68,2,84,3
interior,25-03-2020,46,5,44,22,6,53,0,-,8
vancouver_Island,25-03-2020,47,3,47,26,5,71,0,-,6
northern,25-03-2020,9,1,56,6,1,-,0,-,5
vancouver Coastal,25-03-2020,339,9,54,164,40,63,12,86,161
total_BC,25-03-2020,659,42,53,327/601,107,64,14,86,183
fraser,24-03-2020,194,31,51,99,45,72,2,84,3
interior,24-03-2020,41,1,44,21,6,53,0,-,8
vancouver_Island,24-03-2020,44,0,45,24,4,66,0,-,0
northern,24-03-2020,8,2,61,5,1,-,0,-,4
vancouver Coastal,24-03-2020,330,44,53,151,40,71,11,86,158
total_BC,24-03-2020,617,78,53,300/550,96,70,13,86,173
fraser,23-03-2020,163,-,52,80,36,73,2,83,2
interior,23-03-2020,40,-,47,20,5,53,0,-,8
vancouver_Island,23-03-2020,44,-,45,25,4,66,0,-,0
northern,23-03-2020,6,-,65,4,0,-,0,-,0
vancouver Coastal,23-03-2020,286,-,54,136,38,67,11,87,136
total_BC,23-03-2020,539,-,53,265/486,83,70,13,87,146